dataset,protocol,seed,value,metric
MDR1_MDCK_classification2,min_oob_error,7,0.5258500671593779,mcc
MDR1_MDCK_classification2,min_oob_error,8,0.4679672537610118,mcc
MDR1_MDCK_classification2,min_oob_error,9,0.4862146824190068,mcc
MDR1_MDCK_classification2,min_oob_error,10,0.5072825380040666,mcc
MDR1_MDCK_classification2,min_oob_error,11,0.4874252727122468,mcc
MDR1_MDCK_classification2,min_oob_error,12,0.5084888796427988,mcc
MDR1_MDCK_classification2,min_oob_error,13,0.5122347418099993,mcc
MDR1_MDCK_classification2,min_oob_error,14,0.4633415714818377,mcc
MDR1_MDCK_classification2,min_oob_error,15,0.4783148765903343,mcc
MDR1_MDCK_classification2,min_oob_error,16,0.5213588317490803,mcc
MDR1_MDCK_classification2,min_oob_error,17,0.4663996034101469,mcc
MDR1_MDCK_classification2,min_oob_error,18,0.4763813583690933,mcc
MDR1_MDCK_classification2,min_oob_error,19,0.5360614069926952,mcc
MDR1_MDCK_classification2,max_oob_error,0,0.4183627592833895,mcc
MDR1_MDCK_classification2,max_oob_error,1,0.3490631029463422,mcc
MDR1_MDCK_classification2,max_oob_error,2,0.3959249576835643,mcc
MDR1_MDCK_classification2,max_oob_error,3,0.3447966310603327,mcc
MDR1_MDCK_classification2,max_oob_error,4,0.3662929852610439,mcc
MDR1_MDCK_classification2,max_oob_error,5,0.326193178017626,mcc
MDR1_MDCK_classification2,max_oob_error,6,0.3986551615433511,mcc
MDR1_MDCK_classification2,max_oob_error,7,0.370419655663584,mcc
MDR1_MDCK_classification2,max_oob_error,8,0.4428168252360688,mcc
MDR1_MDCK_classification2,max_oob_error,9,0.4598986510527557,mcc
MDR1_MDCK_classification2,max_oob_error,10,0.3875864211952163,mcc
MDR1_MDCK_classification2,max_oob_error,11,0.355950477149945,mcc
MDR1_MDCK_classification2,max_oob_error,12,0.4405527684397278,mcc
MDR1_MDCK_classification2,max_oob_error,13,0.4232717202190849,mcc
MDR1_MDCK_classification2,max_oob_error,14,0.3676216177078119,mcc
MDR1_MDCK_classification2,max_oob_error,15,0.417658753591707,mcc
MDR1_MDCK_classification2,max_oob_error,16,0.406238265684661,mcc
MDR1_MDCK_classification2,max_oob_error,17,0.3860934475836003,mcc
MDR1_MDCK_classification2,max_oob_error,18,0.4398714424073285,mcc
MDR1_MDCK_classification2,max_oob_error,19,0.4013502567639171,mcc
