source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
stratified_shuffle,10,ames,Ames,first,First,0.03683163218642349,0.4523754119873047,20,0
stratified_shuffle,10,ames,Ames,min_oob_error,MinE,0.04128591082875808,0.11398696899414062,20,0
stratified_shuffle,10,ames,Ames,max_oob_error,MaxE,0.031127965861076135,0.8694877624511719,20,0
stratified_shuffle,10,ames,Ames,min_oob_uncertainty,MinU,0.10302892247439388,0.0031528472900390625,20,1
stratified_shuffle,10,ames,Ames,max_oob_uncertainty,MaxU,0.03346805579447008,0.20244979858398438,20,0
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,random,Random,0.026678787995460595,0.06372261047363281,20,0
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,first,First,0.019157454205401336,0.40909767150878906,20,0
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,-0.0017000920660159124,0.7561664581298828,20,0
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,-0.17075042930014456,9.5367431640625e-06,20,-1
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0.02888731995547289,0.13272666931152344,20,0
stratified_shuffle,10,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0.038520114426804496,0.0758514404296875,20,0
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,random,Random,1.8544941055465411,1.9073486328125e-06,20,1
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,first,First,1.823303152305364,1.9073486328125e-06,20,1
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,0.8071112794318172,0.000133514404296875,20,1
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,-3.5131558459074173,1.9073486328125e-06,20,-1
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,1.968132541681608,1.9073486328125e-06,20,1
stratified_shuffle,10,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,1.5947326961188035,1.9073486328125e-06,20,1
stratified_shuffle,20,pgp_broccatelli,Pgp,random,Random,0.4981004056351672,0.1230926513671875,20,0
stratified_shuffle,20,pgp_broccatelli,Pgp,first,First,0.5401231659700294,0.04844093322753906,20,1
stratified_shuffle,20,pgp_broccatelli,Pgp,min_oob_error,MinE,0.3116534687141034,0.082550048828125,20,0
stratified_shuffle,20,pgp_broccatelli,Pgp,max_oob_error,MaxE,0.5790832112887309,0.09730720520019531,20,0
stratified_shuffle,20,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0.6596799525602244,0.0031528472900390625,20,1
stratified_shuffle,20,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0.4872455322350788,0.04844093322753906,20,1
stratified_shuffle,20,PAMPA_NCATS,PAMPA,random,Random,0.023643089270454175,0.956329345703125,20,0
stratified_shuffle,20,PAMPA_NCATS,PAMPA,first,First,0.09559994981093936,0.7841262817382812,20,0
stratified_shuffle,20,PAMPA_NCATS,PAMPA,min_oob_error,MinE,-0.11584315309525675,0.36827659606933594,20,0
stratified_shuffle,20,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,-0.18624755815675043,0.49800872802734375,20,0
stratified_shuffle,20,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,-0.0008623897527263669,0.9854354858398438,20,0
stratified_shuffle,20,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,-0.1287710568196653,0.7561664581298828,20,0
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0.44179073791084617,0.005580902099609375,20,1
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.42869594092858954,0.009435653686523438,20,1
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,0.8986539257159329,6.29425048828125e-05,20,1
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,-2.203371387206969,1.9073486328125e-06,20,-1
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.5464028088565058,0.0005855560302734375,20,1
stratified_shuffle,20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.4309597865596693,0.00485992431640625,20,1
stratified_shuffle,20,ames,Ames,random,Random,0.021367396654875748,0.8408222198486328,20,0
stratified_shuffle,20,ames,Ames,first,First,0.022409538388850337,0.7841262817382812,20,0
stratified_shuffle,20,ames,Ames,min_oob_error,MinE,-0.08707283282216167,0.082550048828125,20,0
stratified_shuffle,20,ames,Ames,max_oob_error,MaxE,0.1598744170015884,0.082550048828125,20,0
stratified_shuffle,20,ames,Ames,min_oob_uncertainty,MinU,0.1340925865999159,0.05316925048828125,20,0
stratified_shuffle,20,ames,Ames,max_oob_uncertainty,MaxU,0.0007869662231843932,0.8123550415039062,20,0
stratified_shuffle,20,CYP3A4_Veith,CYP3A4,random,Random,0.04380531291565539,0.001209259033203125,20,1
stratified_shuffle,20,CYP3A4_Veith,CYP3A4,first,First,0.04816668595909519,0.0010166168212890625,20,1
stratified_shuffle,20,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,0.02236732235719039,0.13272666931152344,20,0
