dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
ames,0,mcc,max_oob_error,full,Full Model,20,0.45197126434191814,0.05205911718015198,0.4485443505058623,0.052517468689034466,0.0034269138360559144,0.003286535815933883,0.6,0.10122489929199219
ames,0,mcc,max_oob_error,instance_hardness_threshold,InstanceHardness,20,0.45197126434191814,0.05205911718015198,0.438175780431056,0.052987832332005366,0.013795483910862133,0.000871499458596936,0.55,0.19418811798095703
ames,0,mcc,max_oob_error,near_miss,NearMiss,20,0.45197126434191814,0.05205911718015198,0.42629126412011276,0.0416957839828636,0.025680000221805315,0.025120863651153985,0.65,0.007656097412109375
ames,0,mcc,max_oob_error,neighbourhood_cleaning_rule,NeighbourhoodCleaning,20,0.45197126434191814,0.05205911718015198,0.42774527137476676,0.033130644571426365,0.024225992967151378,0.0401342385384742,0.6,0.022027015686035156
ames,0,mcc,max_oob_error,one_sided_selection,OneSidedSelection,20,0.45197126434191814,0.05205911718015198,0.44976937407740303,0.050328618808284015,0.002201890264515055,0.001804701067462,0.55,0.28529834747314453
ames,0,mcc,max_oob_error,random,Random,20,0.45197126434191814,0.05205911718015198,0.43704549661865444,0.05206815637627147,0.0149257677232637,0.015389841239649732,0.8,0.0004253387451171875
ames,0,mcc,max_oob_error,random_over_sampler,RandomOverSampler,20,0.45197126434191814,0.05205911718015198,0.4503003012708923,0.05188213872732463,0.001670963071025866,0.0016052625299845524,0.55,0.2979097366333008
ames,0,mcc,max_oob_error,random_under_sampler,RandomUnderSampler,20,0.45197126434191814,0.05205911718015198,0.4464438359463635,0.05209382604240872,0.0055274283955546065,0.0009756451371208119,0.55,0.17440509796142578
ames,0,mcc,max_oob_error,repeated_edited_nearest_neighbours,RepeatedEditedNN,20,0.45197126434191814,0.05205911718015198,0.40045126159669475,0.0317172984093307,0.05152000274522335,0.0784558386126174,0.8,0.0006046295166015625
ames,0,mcc,max_oob_error,smoten,SMOTEN,20,0.45197126434191814,0.05205911718015198,0.444890458814948,0.0526652011267224,0.007080805526970155,0.0068248436376438515,0.7,0.016384124755859375
